Id,Designator,Package,Quantity,Designation,tol���rance,tension nominale,ref fabricant
1,"C7,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,2.2uF,10.00%,25V,08053C225KAT2A
2,",REF**,REF**,",MountingHole_3.7mm_Pad_Via,4,MountingHole_3.7mm_Pad_Via,x,x,x
3,J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,x,x,826629-2 
4,J1,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Female,x,x,282834-2
5,SW1,SW_SPST_PTS645,1,SW_MEC_5G,x,,KSEK43J LFS
6,C25,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,1,100uF,20.00%,10V,T491D107M010AT
7,C22,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,1,0.1uF,10.00%,35V,T491A104K035AT
8,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,0.10%,50V,ERA6AEB103V
9,U4,LD39050PUR,1,LD39050PU33R,2.00%,3.3V,LD39050PU33R
10,U5,SOIC-8_3.9x4.9mm_P1.27mm,1,REF5050AD,20ppm,5V,REF5050AID
11,U2,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,x,,
12,U1,SOT-223-3_TabPin2,1,LD1117S50TR_SOT223,2.00%,,
13,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,DNP,x,x,x
14,"R10,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,0,5.00%,150V,
15,"R12,R11",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,100,0.10%,150V,MCTC0525B1000T5G
16,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,1,1.00%,150V,RC0805FR-071RL
17,"R7,R6,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,22,1.00%,150V,MCWR08X22R0FTL
18,"R4,R3,R2,R1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,22,1.00%,150V,MCWR08X22R0FTL
19,L1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,dnp,x,x,x
20,J9,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,x,,U.FL-R-SMT(01)
21,J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,x,,282834-4
22,J7,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Female,x,,1725698
23,"J6,J10",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Female,x,,282834-5
24,D1,D_SMB-SMC_Universal_Handsoldering,1,D,x,,MRS1504T3G
25,"C29,C27",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,dnp,x,,
26,"C28,C11,C9,C6,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,100nF,20.00%,50V,
27,C26,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,4.7uF,-400,16V,C0805C475J4RACAUTO
28,"C24,C21,C10,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,1uF,10.00%,16V,MC0805B105K160CT
29,C23,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1uF ,10.00%,16V,MC0805B105K160CT
30,"C20,C19,C18,C17",NFM21PC105B1C3D,4,C_Feedthrough,20.00%,16V,NFM21PC105B1C3D
31,"C16,C15,C13,C12",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,100pF,5.00%,50V,CC0805JRNPO9BN101
32,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,10uF ,20.00%,10V,C0805X106M8RACTU
33,C5,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,10uF,10.00%,16V,T491A106K016AT
34,C2,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,0.1uF,10.00%,50V,
35,C1,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1,10uF,10.00%,10V,T494B106M010AT
36,J5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,x,,9731113
37,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,x,,9731083
38,U3,ADS1232IPW,1,PW0024A_N,x,,ADS1232IPW
39,U6,LoRa-E5,1,LoRa-E5,x,,317990687
40,,CRE1S0505SC,1,CRE1S0505SC,x,,CRE1S0505SC
41,G***,logo_mellia,1,MELLIA,x,,x
